Date,Year.of.Observation,Month.of.Observation,SST_39_anom_lag1,SST_44_anom_lag1,SST_39_anom_lag2,SST_44_anom_lag2,SST_39_anom_lag3,SST_44_anom_lag3,CBA_North,CBA_South,CBA_North_lag1,CBA_South_lag1,CBA_North_lag2,CBA_South_lag2,CBA_North_lag3,CBA_South_lag3
1/1/1989,1989,JAN,,,,,,,,,,,,,,
2/1/1989,1989,FEB,-1.74416,NA,,,,,,,,,,,,
3/1/1989,1989,MAR,-1.263333333,NA,-1.74416,NA,,,,,,,,,,
4/1/1989,1989,APR,-0.588666667,NA,-1.263333333,NA,-1.74416,NA,,,,,,,,
5/1/1989,1989,MAY,0.858958333,NA,-0.588666667,NA,-1.263333333,NA,,,,,,,,
6/1/1989,1989,JUN,NA,NA,0.858958333,NA,-0.588666667,NA,,,,,,,,
7/1/1989,1989,JUL,0.40012,NA,NA,NA,0.858958333,NA,,,,,,,,
8/1/1989,1989,AUG,-1.024869565,NA,0.40012,NA,NA,NA,,,,,,,,
9/1/1989,1989,SEP,-0.884458333,NA,-1.024869565,NA,0.40012,NA,,,,,,,,
10/1/1989,1989,OCT,-0.54072,NA,-0.884458333,NA,-1.024869565,NA,,,,,,,,
11/1/1989,1989,NOV,-0.442115385,NA,-0.54072,NA,-0.884458333,NA,,,,,,,,
12/1/1989,1989,DEC,-0.525615385,NA,-0.442115385,NA,-0.54072,NA,,,,,,,,
1/1/1990,1990,JAN,0.332923077,NA,-0.525615385,NA,-0.442115385,NA,,,,,,,,
2/1/1990,1990,FEB,-0.12316,NA,0.332923077,NA,-0.525615385,NA,,,,,,,,
3/1/1990,1990,MAR,-0.613333333,NA,-0.12316,NA,0.332923077,NA,,,,,,,,
4/1/1990,1990,APR,-0.576666667,NA,-0.613333333,NA,-0.12316,NA,,,,,,,,
5/1/1990,1990,MAY,0.038958333,NA,-0.576666667,NA,-0.613333333,NA,,,,,,,,
6/1/1990,1990,JUN,-0.234043478,NA,0.038958333,NA,-0.576666667,NA,,,,,,,,
7/1/1990,1990,JUL,0.37812,NA,-0.234043478,NA,0.038958333,NA,,,,,,,,
8/1/1990,1990,AUG,1.019130435,NA,0.37812,NA,-0.234043478,NA,,,,,,,,
9/1/1990,1990,SEP,0.308541667,NA,1.019130435,NA,0.37812,NA,,,,,,,,
10/1/1990,1990,OCT,2.22828,NA,0.308541667,NA,1.019130435,NA,,,,,,,,
11/1/1990,1990,NOV,-0.859115385,NA,2.22828,NA,0.308541667,NA,,,,,,,,
12/1/1990,1990,DEC,-0.789615385,NA,-0.859115385,NA,2.22828,NA,,,,,,,,
1/1/1991,1991,JAN,-1.368076923,NA,-0.789615385,NA,-0.859115385,NA,,,,,,,,
2/1/1991,1991,FEB,-0.99816,NA,-1.368076923,NA,-0.789615385,NA,,,,,,,,
3/1/1991,1991,MAR,-0.060333333,NA,-0.99816,NA,-1.368076923,NA,,,,,,,,
4/1/1991,1991,APR,-0.409666667,NA,-0.060333333,NA,-0.99816,NA,,,,,,,,
5/1/1991,1991,MAY,-0.537041667,NA,-0.409666667,NA,-0.060333333,NA,,,,,,,,
6/1/1991,1991,JUN,-1.501043478,NA,-0.537041667,NA,-0.409666667,NA,,,,,,,,
7/1/1991,1991,JUL,-1.13188,NA,-1.501043478,NA,-0.537041667,NA,,,,,,,,
8/1/1991,1991,AUG,-0.002869565,NA,-1.13188,NA,-1.501043478,NA,,,,,,,,
9/1/1991,1991,SEP,1.487541667,NA,-0.002869565,NA,-1.13188,NA,,,,,,,,
10/1/1991,1991,OCT,0.32328,NA,1.487541667,NA,-0.002869565,NA,,,,,,,,
11/1/1991,1991,NOV,NA,NA,0.32328,NA,1.487541667,NA,,,,,,,,
12/1/1991,1991,DEC,NA,-0.310958333,NA,NA,0.32328,NA,,,,,,,,
1/1/1992,1992,JAN,-0.592076923,-0.729,NA,-0.310958333,NA,NA,,,,,,,,
2/1/1992,1992,FEB,0.43184,-0.414333333,-0.592076923,-0.729,NA,-0.310958333,,,,,,,,
3/1/1992,1992,MAR,NA,0.628263158,0.43184,-0.414333333,-0.592076923,-0.729,,,,,,,,
4/1/1992,1992,APR,NA,1.4331,NA,0.628263158,0.43184,-0.414333333,,,,,,,,
5/1/1992,1992,MAY,NA,1.18835,NA,1.4331,NA,0.628263158,,,,,,,,
6/1/1992,1992,JUN,NA,0.647954545,NA,1.18835,NA,1.4331,,,,,,,,
7/1/1992,1992,JUL,3.48612,-0.103136364,NA,0.647954545,NA,1.18835,,,,,,,,
8/1/1992,1992,AUG,1.808130435,0.118409091,3.48612,-0.103136364,NA,0.647954545,,,,,,,,
9/1/1992,1992,SEP,0.239541667,0.129227273,1.808130435,0.118409091,3.48612,-0.103136364,,,,,,,,
10/1/1992,1992,OCT,0.22428,-1.558590909,0.239541667,0.129227273,1.808130435,0.118409091,,,,,,,,
11/1/1992,1992,NOV,1.729884615,-0.580521739,0.22428,-1.558590909,0.239541667,0.129227273,,,,,,,,
12/1/1992,1992,DEC,0.290384615,0.307041667,1.729884615,-0.580521739,0.22428,-1.558590909,,,,,,,,
1/1/1993,1993,JAN,0.093923077,-0.207,0.290384615,0.307041667,1.729884615,-0.580521739,,,,,,,,
2/1/1993,1993,FEB,0.14284,-0.469333333,0.093923077,-0.207,0.290384615,0.307041667,,,,,,,,
3/1/1993,1993,MAR,NA,-0.059736842,0.14284,-0.469333333,0.093923077,-0.207,,,,,,,,
4/1/1993,1993,APR,NA,0.0371,NA,-0.059736842,0.14284,-0.469333333,,,,,,,,
5/1/1993,1993,MAY,NA,0.09835,NA,0.0371,NA,-0.059736842,,,,,,,,
6/1/1993,1993,JUN,2.971956522,0.226954545,NA,0.09835,NA,0.0371,,,,,,,,
7/1/1993,1993,JUL,0.73612,0.952863636,2.971956522,0.226954545,NA,0.09835,,,,,,,,
8/1/1993,1993,AUG,-1.043869565,1.676409091,0.73612,0.952863636,2.971956522,0.226954545,,,,,,,,
9/1/1993,1993,SEP,0.252541667,0.953227273,-1.043869565,1.676409091,0.73612,0.952863636,,,,,,,,
10/1/1993,1993,OCT,-0.38872,-1.373590909,0.252541667,0.953227273,-1.043869565,1.676409091,,,,,,,,
11/1/1993,1993,NOV,-0.045115385,-0.982521739,-0.38872,-1.373590909,0.252541667,0.953227273,,,,,,,,
12/1/1993,1993,DEC,-0.268615385,-1.516958333,-0.045115385,-0.982521739,-0.38872,-1.373590909,,,,,,,,
1/1/1994,1994,JAN,0.101923077,-1.054,-0.268615385,-1.516958333,-0.045115385,-0.982521739,,,,,,,,
2/1/1994,1994,FEB,0.53384,NA,0.101923077,-1.054,-0.268615385,-1.516958333,,,,,,,,
3/1/1994,1994,MAR,0.617666667,NA,0.53384,NA,0.101923077,-1.054,,,,,,,,
4/1/1994,1994,APR,0.647333333,0.1051,0.617666667,NA,0.53384,NA,,,,,,,,
5/1/1994,1994,MAY,-0.067041667,0.31435,0.647333333,0.1051,0.617666667,NA,,,,,,,,
6/1/1994,1994,JUN,-0.480043478,0.369954545,-0.067041667,0.31435,0.647333333,0.1051,,,,,,,,
7/1/1994,1994,JUL,-0.57588,0.352863636,-0.480043478,0.369954545,-0.067041667,0.31435,,,,,,,,
8/1/1994,1994,AUG,-0.929869565,NA,-0.57588,0.352863636,-0.480043478,0.369954545,,,,,,,,
9/1/1994,1994,SEP,-1.045458333,NA,-0.929869565,NA,-0.57588,0.352863636,,,,,,,,
10/1/1994,1994,OCT,0.40728,NA,-1.045458333,NA,-0.929869565,NA,,,,,,,,
11/1/1994,1994,NOV,-0.412115385,NA,0.40728,NA,-1.045458333,NA,,,,,,,,
12/1/1994,1994,DEC,-1.531615385,NA,-0.412115385,NA,0.40728,NA,,,,,,,,
1/1/1995,1995,JAN,-1.005076923,NA,-1.531615385,NA,-0.412115385,NA,,,,,,,,
2/1/1995,1995,FEB,-0.05116,NA,-1.005076923,NA,-1.531615385,NA,,,,,,,,
3/1/1995,1995,MAR,0.748666667,NA,-0.05116,NA,-1.005076923,NA,,,,,,,,
4/1/1995,1995,APR,1.198333333,NA,0.748666667,NA,-0.05116,NA,,,,,,,,
5/1/1995,1995,MAY,0.484958333,NA,1.198333333,NA,0.748666667,NA,,,,,,,,
6/1/1995,1995,JUN,-0.519043478,-0.184045455,0.484958333,NA,1.198333333,NA,,,,,,,,
7/1/1995,1995,JUL,-1.29888,-0.776136364,-0.519043478,-0.184045455,0.484958333,NA,,,,,,,,
8/1/1995,1995,AUG,NA,1.388409091,-1.29888,-0.776136364,-0.519043478,-0.184045455,,,,,,,,
9/1/1995,1995,SEP,-0.133458333,0.889227273,NA,1.388409091,-1.29888,-0.776136364,,,,,,,,
